"","region","year","sector","Units","1p5"
"1","China",2020,"iron and steel","GtCO2",22.9686920816727
"2","China",2021,NA,"GtCO2",22.9686920816727
"3","China",2022,NA,"GtCO2",22.9686920816727
"4","China",2023,NA,"GtCO2",22.9686920816727
"5","China",2024,NA,"GtCO2",22.9686920816727
"6","China",2025,"iron and steel","GtCO2",22.9686920816727
"7","China",2026,NA,"GtCO2",22.9686920816727
"8","China",2027,NA,"GtCO2",22.9686920816727
"9","China",2028,NA,"GtCO2",22.9686920816727
"10","China",2029,NA,"GtCO2",22.9686920816727
"11","China",2030,"iron and steel","GtCO2",22.9686920816727
"12","China",2031,NA,"GtCO2",22.9686920816727
"13","China",2032,NA,"GtCO2",22.9686920816727
"14","China",2033,NA,"GtCO2",22.9686920816727
"15","China",2034,NA,"GtCO2",22.9686920816727
"16","China",2035,"iron and steel","GtCO2",22.9686920816727
"17","China",2036,NA,"GtCO2",22.9686920816727
"18","China",2037,NA,"GtCO2",22.9686920816727
"19","China",2038,NA,"GtCO2",22.9686920816727
"20","China",2039,NA,"GtCO2",22.9686920816727
"21","China",2040,"iron and steel","GtCO2",22.9686920816727
"22","China",2041,NA,"GtCO2",22.9686920816727
"23","China",2042,NA,"GtCO2",22.9686920816727
"24","China",2043,NA,"GtCO2",22.9686920816727
"25","China",2044,NA,"GtCO2",22.9686920816727
"26","China",2045,"iron and steel","GtCO2",22.9686920816727
"27","China",2046,NA,"GtCO2",22.9686920816727
"28","China",2047,NA,"GtCO2",22.9686920816727
"29","China",2048,NA,"GtCO2",22.9686920816727
"30","China",2049,NA,"GtCO2",22.9686920816727
"31","China",2050,"iron and steel","GtCO2",22.9686920816727
